tier,category,tool_id,tool_name,clicks_90d,impressions_90d,avg_position
WATCH,converters2,gas-mark-converter,Oven Gas Mark Converter,0,8,68.8
WATCH,data,sparkline-generator,Sparkline Generator,0,8,43.2
WATCH,devtools,json-to-query-string,JSON to Query String,0,8,58.1
WATCH,everyday,coin-flip,Coin Flip,0,8,37.4
WATCH,fancy,cursive-text,Cursive Text Generator,0,8,35.5
WATCH,financecalc,credit-card-payoff-calc,Credit Card Payoff Calculator,0,8,79.6
WATCH,financecalc,markup-calc,Markup Calculator,0,8,69.9
WATCH,generators,credit-card-test-gen,Test Credit Card Number Generator,0,8,82.1
WATCH,generators2,dmca-notice-gen,DMCA Notice Generator,0,8,64.8
WATCH,hash,djb2-hash,DJB2 Hash,0,8,20.1
WATCH,html,html-list-generator,HTML List Generator,0,8,67.1
WATCH,images,image-contrast,Image Contrast,0,8,75.0
WATCH,js,json-to-js,JSON to JS Object,0,8,68.9
WATCH,mathcalc,binary-calc,Binary Arithmetic,0,8,70.1
WATCH,mathcalc,golden-ratio-calc,Golden Ratio Calculator,0,8,66.4
WATCH,mathcalc,midpoint-calc,Midpoint Calculator,0,8,58.9
WATCH,pdf,pdf-reverse-pages,PDF Page Reverser,0,8,60.8
WATCH,random,random-letter-sequence,Random Letter Sequence,0,8,38.5
WATCH,text,spaces-to-tab,Spaces to Tab,0,8,58.5
WATCH,text,text-truncator,Text Truncator,0,8,72.8
WATCH,business,clv-calc,Customer Lifetime Value Calculator,0,7,89.9
WATCH,css,css-glassmorphism,Glassmorphism Generator,0,7,54.4
WATCH,css,css-line-clamp,CSS Line Clamp Generator,0,7,77.7
WATCH,css,css-scrollbar,CSS Scrollbar Styler,0,7,42.3
WATCH,css,css-transform,CSS Transform Generator,0,7,58.0
WATCH,css,css-triangle,CSS Triangle Generator,0,7,73.4
WATCH,data,frequency-counter,Frequency Counter,0,7,65.3
WATCH,devgen,nginx-config-gen,Nginx Config Generator,0,7,77.6
WATCH,encoders,url-decode,URL Decoder,0,7,72.6
WATCH,encoding,keyword-substitution-cipher,Keyword Substitution Cipher,0,7,68.3
WATCH,financecalc,gratuity-calc,Gratuity Calculator,0,7,87.1
WATCH,financecalc,simple-vs-compound-calc,Simple vs Compound Interest,0,7,82.0
WATCH,formatters,cpp-formatter,C/C++ Formatter,0,7,60.3
WATCH,hash,luhn-validator,Luhn Validator & Check Digit,0,7,65.3
WATCH,html,html-attribute-extractor,HTML Attribute Extractor,0,7,80.0
WATCH,html,html-select-generator,HTML Select Dropdown Generator,0,7,17.0
WATCH,images,image-collage,Image Collage,0,7,76.4
WATCH,images,image-emboss,Image Emboss,0,7,85.0
WATCH,js,js-object-key-sorter,JSON Key Sorter,0,7,46.4
WATCH,js,js-ternary-to-if,Ternary to If/Else,0,7,22.1
WATCH,mathcalc,pythagorean-calc,Pythagorean Calculator,0,7,55.4
WATCH,pdf,pdf-add-blank-page,PDF Blank Page Inserter,0,7,69.9
WATCH,random,bingo-card-generator,Bingo Card Generator,0,7,41.7
WATCH,random,random-binary-generator,Random Binary Generator,0,7,58.6
WATCH,random,random-group-assigner,Random Group Assigner,0,7,85.7
WATCH,text,count-occurrences,Count Occurrences,0,7,60.9
WATCH,text,letter-frequency,Letter Frequency Counter,0,7,48.0
WATCH,text,url-slug,URL Slug Generator,0,7,88.4
WATCH,units,time-converter,Time Converter,0,7,29.0
WATCH,audio,audio-playback-tester,Speaker & Headphone Tester,0,6,51.3
WATCH,business,break-even-calc,Break Even Calculator,0,6,77.5
WATCH,business,business-card-gen,Business Card Generator,0,6,72.5
WATCH,business,meeting-agenda-gen,Meeting Agenda Generator,0,6,90.2
WATCH,colors,blend-modes,Color Blend Mode Calculator,0,6,20.3
WATCH,colors,color-opacity,Color Opacity / RGBA,0,6,66.7
WATCH,converters2,inductance-converter,Inductance Converter,0,6,45.0
WATCH,converters2,shoe-size-converter,Shoe Size Converter,0,6,88.8
WATCH,data,heatmap-generator,Heatmap Generator,0,6,70.0
WATCH,devgen,dockercompose-gen,Docker Compose Generator,0,6,44.0
WATCH,devgen,tsconfig-gen,tsconfig Generator,0,6,49.2
WATCH,devtools,cron-gen,Cron Generator,0,6,40.5
WATCH,encoding,playfair-cipher,Playfair Cipher,0,6,57.2
WATCH,formatters,env-file-sorter,Env File Sorter,0,6,19.5
WATCH,formatters,indentation-converter,Indentation Converter,0,6,66.0
WATCH,generators,fake-ip-gen,Fake IP Generator,0,6,84.0
WATCH,generators,imei-generator,IMEI Number Generator,0,6,24.0
WATCH,generators2,acceptable-use-policy-gen,Acceptable Use Policy Generator,0,6,84.2
WATCH,generators2,disclaimer-gen,Disclaimer Generator,0,6,61.2
WATCH,generators2,twitter-bio-gen,Twitter Bio Generator,0,6,85.3
WATCH,html,html-blockquote-generator,HTML Blockquote Generator,0,6,22.2
WATCH,html,html-compressor,HTML Compressor,0,6,80.5
WATCH,images,color-space,Color Space Converter,0,6,50.3
WATCH,json,json-size,JSON Size Analyzer,0,6,60.2
WATCH,mathcalc,arc-length-calc,Arc Length Calculator,0,6,86.2
WATCH,mathcalc,cone-calc,Cone Calculator,0,6,86.3
WATCH,pdf,pdf-form-filler,PDF Form Filler,0,6,80.7
WATCH,random,random-ip-generator,Random IP Address Generator,0,6,75.7
WATCH,study,spaced-repetition-planner,Spaced Repetition Planner,0,6,44.2
WATCH,text,text-statistics,Text Statistics,0,6,79.8
WATCH,text,url-extractor,URL Extractor,0,6,86.0
WATCH,text,vowel-consonant-counter,Vowel & Consonant Counter,0,6,70.5
WATCH,units,pressure-converter,Pressure Converter,0,6,79.3
WATCH,audio,text-to-speech,Text to Speech,0,5,67.6
